=====================================
性能分析报告
=====================================
分析时间: 2026-04-11T18:50:49.689111
执行时间: 3.05秒
内存使用变化: 4.45MB
CPU使用变化: 0.00%

热点函数:
--------------------------------------------------------------------------------
ncalls     tottime    percall    cumtime    percall_cum filename             lineno     function            
--------------------------------------------------------------------------------
    17604    0.078    0.000    0.232    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexes\base.py:5385(__getitem__)
1240/1232    0.005    0.000    0.228    0.000 C:\python\python3.12\Lib\site-packages\backtrader\metabase.py:77(doinit)
     2970    0.109    0.000    0.226    0.000 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:127(notify_order)
     8000    0.041    0.000    0.217    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\frame.py:682(_constructor_sliced_from_mgr)
     8000    0.159    0.000    0.216    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:1031(iget)
      200    0.022    0.000    0.209    0.001 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:558(check_submitted)
     1000    0.093    0.000    0.207    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:302(__init__)
   162620    0.150    0.000    0.193    0.000 {built-in method builtins.getattr}
     8002    0.061    0.000    0.185    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:2801(check_dict_or_set_indexers)
     3838    0.009    0.000    0.175    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:553(forward)
     3838    0.028    0.000    0.165    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:249(forward)
     1600    0.104    0.000    0.159    0.000 C:\python\python3.12\Lib\site-packages\backtrader\observers\buysell.py:60(next)
81605/53898    0.091    0.000    0.150    0.000 {built-in method builtins.len}
     8022    0.104    0.000    0.148    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:6258(__finalize__)
     1000    0.014    0.000    0.147    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:532(submit)
    16766    0.096    0.000    0.138    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:247(forward)
    42772    0.051    0.000    0.134    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:457(__getattr__)
     1604    0.017    0.000    0.133    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\arrays\datetimelike.py:390(__getitem__)
      200    0.008    0.000    0.129    0.001 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:381(_next_analyzers)
     1000    0.004    0.000    0.123    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:542(<listcomp>)
