=====================================
性能分析报告
=====================================
分析时间: 2026-04-11T18:50:46.420195
执行时间: 2.88秒
内存使用变化: 4.96MB
CPU使用变化: 0.00%

热点函数:
--------------------------------------------------------------------------------
ncalls     tottime    percall    cumtime    percall_cum filename             lineno     function            
--------------------------------------------------------------------------------
     1485    0.050    0.000    0.104    0.000 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:127(notify_order)
     4000    0.077    0.000    0.102    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\internals\managers.py:1031(iget)
      500    0.046    0.000    0.101    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:302(__init__)
      100    0.010    0.000    0.099    0.001 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:558(check_submitted)
    81362    0.071    0.000    0.092    0.000 {built-in method builtins.getattr}
     4001    0.029    0.000    0.089    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:2801(check_dict_or_set_indexers)
     1919    0.005    0.000    0.086    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:553(forward)
     1919    0.013    0.000    0.081    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:249(forward)
      800    0.050    0.000    0.077    0.000 C:\python\python3.12\Lib\site-packages\backtrader\observers\buysell.py:60(next)
40847/26984    0.043    0.000    0.076    0.000 {built-in method builtins.len}
     4015    0.051    0.000    0.073    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:6258(__finalize__)
      500    0.007    0.000    0.070    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:532(submit)
     8383    0.047    0.000    0.068    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:247(forward)
    21386    0.026    0.000    0.065    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:457(__getattr__)
      802    0.008    0.000    0.062    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\arrays\datetimelike.py:390(__getitem__)
      100    0.004    0.000    0.062    0.001 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:381(_next_analyzers)
      500    0.002    0.000    0.059    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:542(<listcomp>)
    12009    0.058    0.000    0.059    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:6323(__setattr__)
      500    0.004    0.000    0.058    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:547(transmit)
     4011    0.013    0.000    0.057    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\generic.py:342(_from_mgr)
     1485    0.015    0.000    0.057    0.000 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:503(_addnotification)
    38610    0.040    0.000    0.056    0.000 C:\python\python3.12\Lib\site-packages\backtrader\utils\autodict.py:100(__getattr__)
      792    0.023    0.000    0.056    0.000 C:\python\python3.12\Lib\site-packages\backtrader\feed.py:358(_tick_fill)
    37980    0.038    0.000    0.056    0.000 C:\python\python3.12\Lib\site-packages\backtrader\order.py:270(__getattr__)
      100    0.020    0.000    0.054    0.001 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:399(_build_market_data)
      802    0.006    0.000    0.054    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\arrays\_mixins.py:278(__getitem__)
     8002    0.023    0.000    0.053    0.000 {built-in method builtins.any}
     3475    0.019    0.000    0.053    0.000 C:\python\python3.12\Lib\copy.py:259(_reconstruct)
      495    0.003    0.000    0.053    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:585(submit_accept)
    21918    0.041    0.000    0.050    0.000 C:\python\python3.12\Lib\site-packages\backtrader\linebuffer.py:162(__getitem__)
     4000    0.021    0.000    0.048    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:1653(_is_scalar_access)
     6503    0.008    0.000    0.048    0.000 C:\python\python3.12\Lib\site-packages\backtrader\lineseries.py:463(__len__)
      620    0.025    0.000    0.048    0.000 C:\python\python3.12\Lib\site-packages\backtrader\metabase.py:243(donew)
